date,n_pos,R_t
2022-10-08,71.21198156682028,1.0208583956571173
2022-10-09,70.9815668202765,1.0256515520209206
2022-10-10,70.93087557603687,1.0315744125150865
2022-10-11,70.72350230414747,1.0335681554228084
2022-10-12,70.53917050691243,1.034617894719688
2022-10-13,70.35023041474655,1.0348230203299098
2022-10-14,70.11059907834102,1.0340650882911575
2022-10-15,69.89400921658986,1.0336634090202472
2022-10-16,69.72811059907833,1.034139453179517
2022-10-17,69.5622119815668,1.0345776598891805
2022-10-18,69.56221198156682,1.037304692961035
2022-10-19,69.6036866359447,1.0401963731974397
2022-10-20,69.8663594470046,1.0453308314532033
2022-10-21,70.2258064516129,1.0505160561845959
2022-10-22,70.61290322580645,1.0545869245434416
2022-10-23,71.17050691244239,1.05952456537801
2022-10-24,71.88018433179725,1.0649687913799664
2022-10-25,72.66359447004609,1.069498920263812
2022-10-26,73.58986175115207,1.0741919031189158
2022-10-27,74.63594470046083,1.0781404832153794
2022-10-28,75.88940092165898,1.0830778573110083
2022-10-29,77.29493087557604,1.0878115199449265
2022-10-30,78.63133640552995,1.0897571304708527
2022-10-31,80.02304147465438,1.0903278025919454
2022-11-01,81.65898617511522,1.0931615802382904
2022-11-02,83.47004608294931,1.097151075506594
2022-11-03,85.31336405529954,1.1004204736221808
2022-11-04,87.11059907834102,1.1017077033583729
2022-11-05,88.8847926267281,1.1021938006831096
2022-11-06,90.64516129032258,1.102137290767546
2022-11-07,92.51152073732719,1.1029713842230018
2022-11-08,94.36405529953917,1.1032428660992466
2022-11-09,96.184331797235,1.1028612879089237
2022-11-10,97.8294930875576,1.1004765748406704
2022-11-11,99.44239631336406,1.0991121973352855
2022-11-12,100.89861751152074,1.096859964565226
2022-11-13,102.23502304147465,1.0944727526159201
